roomtype,capacity,roomnr
SH,1,401
SH,1,402
SH,1,403
SH,1,404
SH,1,409
SH,1,410
SH,1,411
SH,1,406
SH,1,407
SH,1,408
SH,1,412
SH,1,414
DH,2,103
DH,2,104
DH,2,105
DH,2,106
DH,2,107
DH,2,108
DH,2,109
DH,2,110
DH,2,112
DH,2,113
DH,2,115
DH,2,116
DH,2,109
DH,2,110
DH,2,112
DH,2,113
TH,3,115
TH,3,116
SD,3,242
SD,3,245
SD,3,248
SD,3,262
SD,3,265
SD,3,268
SD,3,342
SD,3,345
SD,3,348
SD,3,362
SD,3,365
SD,3,368
AP4,4,205
AP4,4,241
AP4,4,243
AP4,4,244
AP4,4,246
AP4,4,247
AP4,4,263
AP4,4,264
AP4,4,266
AP4,4,267
AP4,4,272
AP4,4,273
AP4,4,301
AP4,4,302
AP4,4,303
AP4,4,304
AP4,4,305
AP4,4,341
AP4,4,343
AP4,4,344
AP4,4,346
AP4,4,347
AP4,4,361
AP4,4,363
AP4,4,364
AP4,4,366
AP4,4,367
AP4,4,372
AP4,4,373
AP6,6,149
AP6,6,150
AP6,6,169
AP6,6,170
AP6,6,206
AP6,6,207
AP6,6,216
AP6,6,217
AP6,6,249
AP6,6,250
AP6,6,269
AP6,6,270
AP6,6,306
AP6,6,307
AP6,6,316
AP6,6,317
AP6,6,349
AP6,6,350
AP6,6,369
AP6,6,370
